amplicon_bp	region	chr13_bp	transcript_bp	protein_as
135	splicing	28608218	.	.
136	splicing	28608217	.	.
137	intronic	28608216	.	.
138	intronic	28608215	.	.
139	intronic	28608214	.	.
140	intronic	28608213	.	.
141	intronic	28608212	.	.
142	intronic	28608211	.	.
143	intronic	28608210	.	.
144	intronic	28608209	.	.
145	intronic	28608208	.	.
146	intronic	28608207	.	.
147	intronic	28608206	.	.
148	intronic	28608205	.	.
149	intronic	28608204	.	.
150	intronic	28608203	.	.
151	intronic	28608202	.	.
152	intronic	28608201	.	.
153	intronic	28608200	.	.
154	intronic	28608199	.	.
155	intronic	28608198	.	.
156	intronic	28608197	.	.
157	intronic	28608196	.	.
158	intronic	28608195	.	.
159	intronic	28608194	.	.
160	intronic	28608193	.	.
161	intronic	28608192	.	.
162	intronic	28608191	.	.
163	intronic	28608190	.	.
164	intronic	28608189	.	.
165	intronic	28608188	.	.
166	intronic	28608187	.	.
167	intronic	28608186	.	.
168	intronic	28608185	.	.
169	intronic	28608184	.	.
170	intronic	28608183	.	.
171	intronic	28608182	.	.
172	intronic	28608181	.	.
173	intronic	28608180	.	.
174	intronic	28608179	.	.
175	intronic	28608178	.	.
176	intronic	28608177	.	.
177	intronic	28608176	.	.
178	intronic	28608175	.	.
179	intronic	28608174	.	.
180	intronic	28608173	.	.
181	intronic	28608172	.	.
182	intronic	28608171	.	.
183	intronic	28608170	.	.
184	intronic	28608169	.	.
185	intronic	28608168	.	.
186	intronic	28608167	.	.
187	intronic	28608166	.	.
188	intronic	28608165	.	.
189	intronic	28608164	.	.
190	intronic	28608163	.	.
191	intronic	28608162	.	.
192	intronic	28608161	.	.
193	intronic	28608160	.	.
194	intronic	28608159	.	.
195	intronic	28608158	.	.
196	intronic	28608157	.	.
197	intronic	28608156	.	.
198	intronic	28608155	.	.
199	intronic	28608154	.	.
200	intronic	28608153	.	.
201	intronic	28608152	.	.
202	intronic	28608151	.	.
203	intronic	28608150	.	.
204	intronic	28608149	.	.
205	intronic	28608148	.	.
206	intronic	28608147	.	.
207	intronic	28608146	.	.
208	intronic	28608145	.	.
209	intronic	28608144	.	.
210	intronic	28608143	.	.
211	intronic	28608142	.	.
212	intronic	28608141	.	.
213	intronic	28608140	.	.
214	intronic	28608139	.	.
215	intronic	28608138	.	.
216	intronic	28608137	.	.
217	intronic	28608136	.	.
218	intronic	28608135	.	.
219	intronic	28608134	.	.
220	intronic	28608133	.	.
221	intronic	28608132	.	.
222	intronic	28608131	.	.
223	splicing	28608130	.	.
224	splicing	28608129	.	.
225	exon15_TKD	28608128	1838	613
226	exon15_TKD	28608127	1839	613
227	exon15_TKD	28608126	1840	614
228	exon15_TKD	28608125	1841	614
229	exon15_TKD	28608124	1842	614
230	exon15_TKD	28608123	1843	615
231	exon15_TKD	28608122	1844	615
232	exon15_TKD	28608121	1845	615
233	exon15_TKD	28608120	1846	616
234	exon15_TKD	28608119	1847	616
235	exon15_TKD	28608118	1848	616
236	exon15_TKD	28608117	1849	617
237	exon15_TKD	28608116	1850	617
238	exon15_TKD	28608115	1851	617
239	exon15_TKD	28608114	1852	618
240	exon15_TKD	28608113	1853	618
241	exon15_TKD	28608112	1854	618
242	exon15_TKD	28608111	1855	619
243	exon15_TKD	28608110	1856	619
244	exon15_TKD	28608109	1857	619
245	exon15_TKD	28608108	1858	620
246	exon15_TKD	28608107	1859	620
247	exon15_TKD	28608106	1860	620
248	exon15_TKD	28608105	1861	621
249	exon15_TKD	28608104	1862	621
250	exon15_TKD	28608103	1863	621
251	exon15_TKD	28608102	1864	622
252	exon15_TKD	28608101	1865	622
253	exon15_TKD	28608100	1866	622
254	exon15_TKD	28608099	1867	623
255	exon15_TKD	28608098	1868	623
256	exon15_TKD	28608097	1869	623
257	exon15_TKD	28608096	1870	624
258	exon15_TKD	28608095	1871	624
259	exon15_TKD	28608094	1872	624
260	exon15_TKD	28608093	1873	625
261	exon15_TKD	28608092	1874	625
262	exon15_TKD	28608091	1875	625
263	exon15_TKD	28608090	1876	626
264	exon15_TKD	28608089	1877	626
265	exon15_TKD	28608088	1878	626
266	exon15_TKD	28608087	1879	627
267	exon15_TKD	28608086	1880	627
268	exon15_TKD	28608085	1881	627
269	exon15_TKD	28608084	1882	628
270	exon15_TKD	28608083	1883	628
271	exon15_TKD	28608082	1884	628
272	exon15_TKD	28608081	1885	629
273	exon15_TKD	28608080	1886	629
274	exon15_TKD	28608079	1887	629
275	exon15_TKD	28608078	1888	630
276	exon15_TKD	28608077	1889	630
277	exon15_TKD	28608076	1890	630
278	exon15_TKD	28608075	1891	631
279	exon15_TKD	28608074	1892	631
280	exon15_TKD	28608073	1893	631
281	exon15_TKD	28608072	1894	632
282	exon15_TKD	28608071	1895	632
283	exon15_TKD	28608070	1896	632
284	exon15_TKD	28608069	1897	633
285	exon15_TKD	28608068	1898	633
286	exon15_TKD	28608067	1899	633
287	exon15_TKD	28608066	1900	634
288	exon15_TKD	28608065	1901	634
289	exon15_TKD	28608064	1902	634
290	exon15_TKD	28608063	1903	635
291	exon15_TKD	28608062	1904	635
292	exon15_TKD	28608061	1905	635
293	exon15_TKD	28608060	1906	636
294	exon15_TKD	28608059	1907	636
295	exon15_TKD	28608058	1908	636
296	exon15_TKD	28608057	1909	637
297	exon15_TKD	28608056	1910	637
298	exon15_TKD	28608055	1911	637
299	exon15_TKD	28608054	1912	638
300	exon15_TKD	28608053	1913	638
301	exon15_TKD	28608052	1914	638
302	exon15_TKD	28608051	1915	639
303	exon15_TKD	28608050	1916	639
304	exon15_TKD	28608049	1917	639
305	exon15_TKD	28608048	1918	640
306	exon15_TKD	28608047	1919	640
307	exon15_TKD	28608046	1920	640
308	exon15_TKD	28608045	1921	641
309	exon15_TKD	28608044	1922	641
310	exon15_TKD	28608043	1923	641
311	exon15_TKD	28608042	1924	642
312	exon15_TKD	28608041	1925	642
313	exon15_TKD	28608040	1926	642
314	exon15_TKD	28608039	1927	643
315	exon15_TKD	28608038	1928	643
316	exon15_TKD	28608037	1929	643
317	exon15_TKD	28608036	1930	644
318	exon15_TKD	28608035	1931	644
319	exon15_TKD	28608034	1932	644
320	exon15_TKD	28608033	1933	645
321	exon15_TKD	28608032	1934	645
322	exon15_TKD	28608031	1935	645
323	exon15_TKD	28608030	1936	646
324	exon15_TKD	28608029	1937	646
325	exon15_TKD	28608028	1938	646
326	exon15_TKD	28608027	1939	647
327	exon15_TKD	28608026	1940	647
328	exon15_TKD	28608025	1941	647
329	exon15_TKD	28608024	1942	648
